Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,83.47499847,83.82499695,83.93900299,84.22399902,84.79599762,85.07299805,85.22100067,85.81099701,86.22499847,86.33699799,87.04399872,87.43599701,87.84100342,87.95700073,88.23600006,88.13800049,88.38999939,88.47200012,88.88600159,89.10399628,89.58000183,89.72399902,90.03299713,90.06300354,90.48999786,90.41699982,90.72000122,90.1760025,90.27999878,90.40100098
Austria,AUT,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,73.07700348,73.55699921,74.31099701,74.81600189,74.29399872,75.83599854,77.66600037,78.53800201,79.04199982,79.46199799,79.91699982,80.96099854,81.15200043,81.84600067,81.81700134,81.30400085,81.40699768,82.50700378,83.38300323,83.53700256,82.89600372,83.10199738,82.80999756,82.73699951,83.65200043,84.09300232,84.91699982,84.85900116,85.125,85.39099884
Azerbaijan,AZE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,41.80500031,41.86999893,42.13600159,42.63899994,42.68700027,43.23600006,44.06100082,44.88000107,44.4469986,46.2820015,49.98799896,53.18799973,53.4469986,53.69400024,53.97499847,52.64899826,54.27099991,53.24200058,50.29299927,49.3769989,49.88499832,49.88399887,50.45000076,51.18199921,52.06200027,51.87400055,51.8390007,52.07300186,52.52700043,52.94300079
Burundi,BDI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,2.410000086,2.437000036,2.446000099,2.454999924,2.471999884,2.497999907,2.519999981,2.552999973,2.578000069,2.59800005,2.641000032,2.704999924,2.782000065,2.849999905,2.842999935,2.913000107,2.934999943,3.019999981,3.071000099,3.154000044,3.217000008,3.279999971,3.372999907,3.430000067,3.446000099,3.480999947,3.529000044,3.585000038,3.625999928,3.663000107
Belgium,BEL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,81.57700348,82.0490036,83.91400146,83.6269989,84.33699799,84.56199646,84.67299652,85.67299652,86.58799744,87.14900208,87.2539978,86.44100189,87.35399628,87.58200073,87.19799805,87.98699951,87.68599701,88.68900299,89.30200195,89.03600311,89.44300079,90.6760025,90.58999634,90.84600067,90.91100311,91.07499695,90.72299957,90.81500244,90.98799896,91.11000061
Benin,BEN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,34.70800018,34.98400116,35.25500107,35.36999893,35.77000046,36.12799835,36.57099915,37.09000015,37.63499832,38.30199814,38.98600006,39.6780014,40.36999893,41.1780014,41.7879982,42.54899979,43.43600082,44.31700134,44.99100113,45.66600037,46.61000061,47.49499893,48.4129982,49.29499817,49.92900085,50.75600052,51.55599976,52.45000076,53.23500061,53.94200134
Burkina Faso,BFA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,8.534999847,8.706000328,8.958999634,9.277000427,10.14000034,11.20600033,12.29899979,13.57299995,14.9289999,16.40999985,18.17300034,19.9640007,21.87199974,23.92099953,26.37100029,28.73399925,31.06900024,33.68199921,35.88299942,38.11700058,40.20700073,42.29199982,44.18500137,45.58200073,46.48699951,47.21699905,47.95500183,48.5929985,49.14899826,49.63600159
Bangladesh,BGD,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,1.605000019,2.348999977,3.447000027,5.027999878,7.232999802,10.27000046,10.92500019,11.52499962,12.13199997,12.57400036,13.49100018,14.55799961,15.60900021,16.70700073,17.9109993,19.27799988,19.64500046,20.12800026,20.75300026,21.38800049,21.21899986,20.99699974,20.74799919,20.68600082,20.63500023,20.65800095,23.3579998,24.20800018,24.72999954,25.21800041
Bulgaria,BGR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,46.35400009,47.58000183,49.51100159,51.48199844,53.2820015,55.40599823,56.88800049,58.74000168,60.4659996,62.13800049,64.03600311,63.05799866,63.68299866,63.18600082,64.33000183,65.8730011,65.8690033,65.58899689,67.83999634,70.72699738,71.28399658,70.6269989,71.72699738,72.22599792,72.93000031,73.38300323,72.92700195,73.35700226,73.65299988,73.93900299
Bahrain,BHR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,92.50800323,92.11100006,91.59799957,90.96399689,90.29599762,89.79499817,89.15299988,88.61299896,87.93800354,87.15599823,86.40799713,87.4240036,88.33300018,89.08899689,89.66200256,90.09400177,90.40899658,90.60099792,90.98699951,90.90699768,90.99700165,90.96700287,90.89399719,90.79100037,90.74700165,90.81600189,90.90299988,91.08300018,91.25800323,91.40000153
"Bahamas, The",BHS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,93.42700195,93.48899841,93.80200195,93.14700317,93.63400269,93.0759964,92.1760025,93.44999695,93.6269989,93.07900238,92.49199677,94.06800079,93.92700195,94.46600342,94.60399628,94.46700287,94.38400269,95.11000061,95.84999847,95.93399811,96.08499908,96.12400055,96.27300262,96.33599854,96.55899811,96.62599945,96.66500092,96.62999725,96.74199677,96.78199768
Bosnia and Herzegovina,BIH,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,44.52299881,44.68299866,45.26599884,46.63100052,48.2159996,50.73899841,51.83200073,52.8730011,53.86000061,54.5530014,55.67599869,56.79999924,57.64699936,58.63100052,59.42200089,60.1629982,60.60100174,59.20800018,57.82799911,60.93999863,62.73199844,60.59899902,63.45199966,66.31999969,65.24700165,64.34700012,65.03700256,66.01300049,66.4960022,66.95400238
Belarus,BLR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,62.70100021,62.99100113,63.45999908,63.98899841,64.54499817,64.84400177,65.13200378,65.72499847,66.10099792,66.53299713,67.06800079,67.54100037,67.90699768,68.12599945,68.39299774,68.66600037,68.96800232,69.1760025,69.8789978,70.20400238,70.45700073,71.01000214,71.64600372,72.24900055,73.03099823,73.48400116,73.02300262,73.2460022,73.80500031,74.33100128
Belize,BLZ,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,82.72699738,82.85600281,82.68000031,83.78900146,84.96800232,84.78500366,79.17099762,84.35700226,82.18000031,82.80200195,83.65100098,84.40399933,85.14900208,85.83999634,86.4960022,86.34100342,86.4489975,86.5019989,86.76599884,86.83999634,86.87599945,87.07099915,87.28900146,87.5019989,87.4280014,86.0739975,85.48600006,85.76599884,85.9240036,86.04000092
Bermuda,BMU,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,45.01300049,45.30899811,45.65000153,46.02700043,46.45600128,47.02899933,47.5890007,48.19200134,48.82699966,53.10699844,48.77199936,50.18899918,54.68299866,54.65999985,50.27099991,50.6629982,52.73600006,57.77999878,58.68999863,58.81399918,58.91199875,61.95399857,60.81100082,58.96699905,60.71500015,60.55099869,59.61399841,58.70700073,59.2120018,59.70000076
Brazil,BRA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,75.31099701,75.19200134,75.375,75.89700317,75.98999786,77.27600098,77.30699921,77.81099701,77.44100189,76.86599731,76.14299774,75.84600067,76.10900116,75.88999939,75.52700043,76.69000244,77.48100281,77.85399628,79.09700012,80.41200256,81.65000153,81.5059967,82.14299774,82.875,83.31500244,84.5,85.0530014,85.10600281,85.42500305,85.70200348
Barbados,BRB,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,83.15899658,83.42299652,83.3259964,84.54799652,83.9960022,84.73200226,84.82800293,84.88899994,85.61000061,86.15299988,86.63899994,87.05599976,87.56400299,89.23999786,89.76699829,90.39299774,90.26399994,90.2480011,90.20800018,89.36199951,89.25700378,88.88600159,88.52200317,88.80999756,88.75,88.80599976,88.96099854,89.16000366,89.36000061,89.51000214
Brunei Darussalam,BRN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,89.48600006,89.47899628,89.48200226,89.52500153,89.42900085,89.38500214,89.23899841,89.22699738,89.26699829,89.10800171,89.12999725,89.15799713,89.13800049,89.10299683,89.05400085,89.08200073,89.08000183,88.91400146,88.96099854,88.96900177,88.85800171,88.79499817,88.72599792,88.64600372,89.25700378,89.83499908,90.39099884,90.41200256,90.45700073,90.56900024
Bhutan,BTN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,18.40600014,18.51799965,18.69199944,18.77599907,18.95000076,19.1970005,19.4109993,19.75399971,20.03199959,20.33799934,20.63500023,20.79899979,21.11100006,21.5529995,21.95499992,22.34300041,23.21699905,24.61000061,26.00799942,27.42399979,23.14599991,23.77199936,23.53300095,24.80900002,24.46199989,24.64999962,25.19300079,25.77700043,26.21199989,26.6439991
Botswana,BWA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,69.625,69.78199768,70.07900238,70.10299683,70.11399841,69.96399689,71.18199921,71.06900024,69.82499695,68.46299744,69.6210022,70.43499756,71.09100342,71.23400116,71.40899658,71.16600037,70.4940033,70.00099945,69.5019989,70.02899933,70.49900055,70.87400055,71.09400177,71.68599701,72.40699768,73.01300049,73.51399994,73.85600281,74.28099823,74.61000061
Central African Republic,CAF,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,9.866999626,9.892000198,9.956000328,10.07900047,10.23799992,10.34799957,10.55500031,10.75,10.94499969,11.06000042,11.33399963,11.59399986,11.68799973,11.98900032,12.19499969,12.45300007,12.72599983,12.93099976,13.32499981,13.65799999,13.99400043,14.36200047,13.85400009,14.10900021,14.50599957,14.9090004,15.27999973,15.66399956,15.99600029,16.31200027
Canada,CAN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,85.79699707,86.06600189,86.72699738,86.8219986,86.6289978,86.81600189,86.54799652,86.5,86.5719986,86.90100098,87.35299683,87.13600159,87.34799957,87.39600372,87.84799957,88.15399933,88.48600006,89.08399963,89.86699677,90.34500122,89.92900085,89.88999939,90.18599701,90.33799744,90.43399811,90.48500061,90.54699707,90.58799744,90.70200348,90.79599762
Central Europe and the Baltics,CEB,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,48.1971507,49.33456118,50.28571642,51.17893462,52.23806287,53.82149138,54.35251854,55.22775987,56.1290845,56.96558376,57.03762212,59.32265482,60.66276768,61.92563281,63.02850106,64.10838032,64.88651609,65.61338205,67.41764115,68.38664758,68.65543361,69.22750635,70.0392447,70.31293996,71.32389682,72.08017179,71.97079927,72.18249853,72.64586619,73.02872576
Switzerland,CHE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,79.50499725,81.10800171,81.37799835,80.7539978,80.89199829,81.60900116,82.38899994,83.35500336,83.72799683,83.58399963,84.27799988,84.98000336,85.50800323,85.81600189,86.15699768,86.09799957,86.47899628,85.92099762,86.78600311,86.61000061,86.73899841,86.7440033,86.58499908,86.71700287,87.03099823,87.25700378,87.27100372,87.58699799,87.8789978,88.11199951
Channel Islands,CHI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,73.64299774,73.93099976,74.18299866,74.36000061,74.70700073,75.13600159,75.49199677,75.91699982,76.33399963,76.7480011,77.55799866,78.27799988,79.06500244,79.76100159,80.37999725,80.83499908,81.31700134,82.03700256,82.93199921,83.44100189,84.04199982,84.51200104,84.94300079,85.33899689,85.73999786,86.16899872,86.60700226,87.06400299,87.45400238,87.77799988
Chile,CHL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,78.96800232,78.81800079,77.77100372,79.57099915,79.95700073,79.65599823,80.99700165,81.51200104,82.66600037,82.98799896,82.30500031,83.10399628,83.19000244,82.18299866,82.54699707,82.75700378,83.33599854,83.02799988,83.85800171,84.58799744,84.41000366,84.23899841,84.64399719,84.72200012,84.24099731,83.9469986,83.81400299,84.59400177,85.00299835,85.34600067
China,CHN,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,20.24300003,21.19199944,22.67000008,24.62100029,26.58499908,27.9090004,28.375,28.76799965,29.03499985,29.69300079,29.98399925,30.99699974,31.81800079,33.38800049,34.36100006,35.35499954,35.73600006,36.71500015,37.86299896,38.52500153,39.85599899,40.46900177,43.19100189,45.5719986,47.42499924,48.84899902,50.37799835,51.27000046,52.06900024,52.77399826
Cote d'Ivoire,CIV,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,36.51800156,36.75099945,37.01800156,37.35100174,37.68999863,38.07600021,38.48899841,38.98799896,39.52500153,40.02700043,40.63199997,41.17699814,41.72700119,42.47000122,43.18999863,43.83800125,44.52099991,45.1780014,45.91600037,46.63700104,47.15499878,48.07799911,48.64400101,50.92699814,53.08399963,55.13199997,57.09000015,57.6609993,58.32500076,58.97499847
Cameroon,CMR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,20.23200035,20.36499977,20.50600052,20.68099976,20.90500069,21.17099953,21.45700073,21.77799988,22.1439991,22.57699966,23.14999962,23.44599915,23.71100044,23.96199989,24.11599922,24.29100037,24.49699974,25.93899918,27.42900085,28.98399925,30.68499947,32.42399979,34.25099945,36.09500122,37.32300186,38.32899857,39.23799896,40.09999847,40.81299973,41.44599915
"Congo, Dem. Rep.",COD,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,15.15499973,15.08300018,15.01500034,14.99400043,15.06299973,15.26500034,15.25599957,15.3739996,15.24600029,15.36100006,15.30200005,15.52900028,15.99300003,16.36499977,16.8029995,17.25300026,17.70000076,18.10400009,18.46500015,18.86899948,19.34799957,19.91699982,20.52199936,21.18700027,21.83600044,22.29899979,22.7840004,23.38299942,23.86400032,24.28300095
"Congo, Rep.",COG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,28.66300011,28.90399933,29.15200043,29.34300041,29.6760006,30.02700043,30.37700081,30.86100006,31.22500038,31.79400063,32.50899887,33.1969986,33.82699966,34.45500183,35.15100098,35.8390007,36.48199844,37.14099884,37.98500061,38.68999863,39.40299988,40.14599991,40.92599869,41.77700043,42.57699966,43.22299957,43.84500122,44.58200073,45.29499817,45.90299988
Colombia,COL,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,73.93699646,74.10700226,74.23999786,74.51799774,74.61000061,74.8769989,75.13800049,75.44499969,75.72399902,76.08200073,76.29100037,76.4940033,76.65000153,76.92500305,77.18499756,77.43699646,77.6740036,77.84899902,77.91600037,77.13500214,76.8690033,76.45899963,78.22599792,78.68800354,78.78099823,79.43099976,78.3030014,77.33100128,77.55000305,77.70700073
Comoros,COM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,19.42900085,19.66200066,19.88899994,20.01099968,20.31599998,20.56299973,20.94499969,21.31699944,21.75399971,22.41900063,22.93300056,23.50699997,24.09000015,24.65500069,25.23800087,25.89100075,26.5170002,27.21199989,27.87400055,28.57600021,29.28300095,29.96299934,30.69499969,31.3239994,31.92499924,32.56399918,33.24100113,33.94900131,34.50400162,35.11000061
Cabo Verde,CPV,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,70.09200287,70.30599976,70.54399872,70.79399872,71.06099701,71.33300018,71.65699768,71.9980011,72.35700226,72.76300049,73.27700043,73.73899841,74.19400024,74.63300323,75.10500336,75.61100006,76.10500336,76.53700256,77.0019989,77.50800323,77.90299988,78.30400085,78.68499756,79.05899811,79.44799805,79.83399963,80.18900299,82.33999634,82.65399933,82.92900085
Costa Rica,CRI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,71.59100342,72.77500153,74.41000366,74.36699677,75.84500122,77.79499817,78.5530014,78.22399902,78.66899872,79.73300171,79.12799835,80.93099976,81.5019989,82.88899994,82.63700104,82.89800262,82.07499695,82.86399841,84.10800171,85.18000031,86.22399902,87.51300049,89.01599884,86.44200134,86.16999817,86.69499969,85.56600189,84.6269989,84.8710022,85.03800201
Caribbean small states,CSS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,74.77097731,75.54128266,77.55748648,77.57456517,78.17463359,79.00384401,80.6586778,81.85237616,83.34413227,83.98150681,84.27537908,84.36339768,85.19405465,85.28391976,85.38405006,85.75775619,85.72680804,85.57423268,85.86853215,85.80460386,85.8605977,86.18851535,86.47853904,86.6985638,86.79056156,86.25336177,86.02986693,86.3007176,86.55043438,86.6964764
Cuba,CUB,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,64.22399902,64.57299805,65.7539978,67.98200226,71.06300354,71.0490036,71.01100159,71.65699768,72.23999786,72.20200348,73.49199677,74.79299927,75.90499878,76.83699799,77.57900238,78.21900177,79.01999664,79.51899719,79.93800354,79.94200134,79.01899719,78.22100067,80.74700165,80.93699646,81.04000092,81.51200104,81.80799866,82.15499878,82.46299744,82.74099731
Curacao,CUW,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,61.13399887,63.55099869,67.04699707,70.47799683,71.66799927,74.23699951,76.56900024,78.65299988,80.63899994,82.40399933,83.72799683,83.84999847,85.0039978,85.52600098,86.20300293,87.08899689,88.16000366,87.70700073,87.56800079,88.30799866,89.21700287,89.80400085,91.0059967,90.89099884,91.60700226,91.95200348,92.02200317,92.60800171,92.83200073,92.98200226
Czech Republic,CZE,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,58.27999878,59.64699936,61.23199844,62.9070015,63.82099915,64.86499786,66.36399841,66.83499908,68.06600189,68.98500061,68.25900269,68.70200348,69.51200104,70.02300262,70.69000244,70.18399811,70.65899658,70.95700073,73.71600342,74.8809967,74.23600006,74.73799896,75.01999664,74.76499939,74.61499786,74.13500214,73.99299622,74.30200195,74.65699768,74.94799805
Germany,DEU,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,74.72100067,75.22599792,75.8789978,76.27200317,76.76499939,77.98200226,78.56199646,78.77300262,79.16300201,79.61499786,80.05899811,80.42500305,81.2539978,81.29199982,82.25299835,82.38400269,82.43699646,83.67299652,84.19400024,84.53800201,84.63400269,84.7460022,84.98500061,84.82900238,85.18699646,85.30999756,85.26200104,85.20600128,85.49700165,85.72899628
Djibouti,DJI,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,43.27799988,43.52199936,43.74300003,44.02500153,44.30500031,44.59999847,44.95299911,45.3730011,45.86199951,46.37099838,46.99399948,47.65599823,48.33399963,49.01699829,49.72700119,50.47700119,51.24300003,52.05400085,52.74700165,53.52600098,54.4469986,55.28499985,56.10699844,57.02600098,57.9679985,58.92300034,59.80099869,60.67900085,61.48600006,62.20800018
Dominica,DMA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,81.96499634,82.28500366,82.8259964,82.35800171,82.53099823,82.85299683,83.8730011,83.57099915,83.16500092,84.53600311,83.88999939,86.12000275,86.59600067,86.1230011,85.98899841,86.90799713,85.78399658,86.66699982,88.83000183,89.9280014,89.76999664,89.43699646,89.83200073,89.81600189,89.27700043,89.65899658,90.03299713,90.28700256,90.48600006,90.68499756
Dominican Republic,DOM,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,73.65899658,73.8239975,74.15899658,74.53800201,74.87799835,75.25,76.26100159,75.30500031,76.35199738,77.20600128,81.10500336,82.75099945,83.15000153,83.02100372,82.31300354,83.74099731,84.37200165,82.91699982,88.73999786,88.16300201,88.40799713,87.91400146,89.58999634,88.02300262,88.67700195,89.68599701,89.11199951,89.17099762,89.33699799,89.44400024
Algeria,DZA,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,52.20299911,52.53699875,52.92300034,53.25299835,53.64400101,54.09700012,54.54399872,55.16799927,55.90299988,56.50099945,57.16799927,59.62900162,62.00600052,63.75899887,65.2559967,66.86000061,68.31600189,69.68000031,71.01100159,72.16699982,73.20700073,72.9469986,72.73500061,72.49700165,72.26000214,72.0510025,71.7990036,72.42299652,72.86299896,73.23000336
East Asia & Pacific (excluding high income),EAP,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,22.32805844,22.93266191,24.50474261,26.22789604,28.20827078,29.26593331,30.03821088,30.47572079,30.91031337,31.10985509,31.5705964,32.45875115,33.08208419,34.72426313,35.47542509,36.70797067,37.2308345,38.11316673,39.3210376,39.93486247,41.12662941,41.73302144,44.03988566,46.01960902,47.58937662,49.08744468,50.42158905,51.28142425,52.09357446,52.82247307
Early-demographic dividend,EAR,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,28.33544898,28.43008229,29.45126267,29.93765461,30.83220522,31.06135196,31.9812098,32.31716339,32.65307278,32.38096771,32.77393881,32.85212129,32.8773869,33.64415275,33.83554758,35.17321083,36.02995913,37.07860604,38.1582932,38.92574988,40.36287852,41.9365133,42.75080575,43.26149565,43.99238369,45.02638154,45.83472987,46.80421019,47.37185,47.90617289
East Asia & Pacific,EAS,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,26.55398321,27.1671352,28.68289989,30.35500148,32.23703316,33.2669729,34.06499305,34.5059502,34.9446258,35.19549039,35.76087525,36.67119989,37.30599305,38.88983283,39.68916767,40.8806423,41.39729435,42.25742866,43.43712438,44.04123279,45.14764199,45.741401,47.89181154,49.72350108,51.18894016,52.61873372,53.86962654,54.68739283,55.44345104,56.11414453
